"regional_code","common_name_en","common_name_fr","scientific_name","aphia_id","count_of_occurrences_in_db"
1221,"Eggs - Atlantic herring","Oeufs - Hareng atlantique","Clupea harengus eggs",NA,1
1800,"Protochordata unidentified",NA,"Protochordata sp.",NA,1
1826,"Sea grapes","Ascidie","Molgula manhattensis",103788,1
1845,"Pelagic tunicate unidentified",NA,"Thaliacea (c.)",22626,1
2300,"Hippolytidae unidentified",NA,"Hippolytidae (f.)",106777,1
2314,"Obsolete",NA,"Obsolete",NA,1
2540,"Axiidae unidentified",NA,"Axiidae (f.)",106798,1
2556,"Munida valida","Munida valida","Munida valida",158399,1
2600,"Krill","Euphausides","Euphausiacea (o.)",1128,1
2812,"Megamoera dentata","Megamoera dentata","Megamoera dentata",423508,1
2819,"Gammaridea unidentified",NA,"Gammaridea (s.o.)",1207,1
2821,"Wimvadocus torelli","Wimvadocus torelli","Wimvadocus torelli",535546,1
2842,NA,NA,"Paroediceros sp.",101700,1
2844,"Anonyx sarsi","Anonyx sarsi","Anonyx sarsi",102516,1
2855,"Ampeliscidae unidentified",NA,"Ampeliscidae (f.)",101364,1
2858,"Ampelisca unidentified",NA,"Ampelisca sp.",101445,1
2870,"Caprellidae unidentified",NA,"Caprellidae (f.)",101361,1
2873,"Aeginina longicornis","Aeginina longicornis","Aeginina longicornis",101820,1
2917,"Pseudocalanus unidentified",NA,"Pseudocalanus sp.",104165,1
3104,"Nephtys unidentified",NA,"Nephtys sp.",129370,1
3130,"Nereis unidentified",NA,"Nereis sp.",129379,1
3133,"Capitellidae unidentified",NA,"Capitellidae (f.)",921,1
3138,"Feather duster worm unidentified",NA,"Sabellidae (f.)",985,1
3142,"Pectinaria gouldii","Pectinaria gouldii","Pectinaria gouldii",334421,1
3149,"Cistenides granulata","Cistenides granulata","Cistenides granulata",238377,1
3150,"Nereididae unidentified",NA,"Nereididae (f.)",22496,1
3172,"Brada unidentified",NA,"Brada sp.",129289,1
3400,"Acanthocephala unidentified",NA,"Acanthocephala (p.)",18814,1
4303,"Tellina unidentified",NA,"Tellina sp.",138533,1
4307,"Wavy astarte","Astarte undata","Astarte undata",156747,1
4327,"Propellerclam unidentified",NA,"Cyrtodaria sp.",138067,1
4341,"Cardium unidentified",NA,"Cardium sp.",137734,1
4345,"Northern dwarf cockle","Coque naine du nord","Parvicardium pinnulatum",181343,1
4381,"Jingle unidentified",NA,"Anomia sp.",137650,1
