regional_code,common_name_en,common_name_fr,scientific_name,aphia_ID,count_of_occurrences_in_db
4191,Greenland Glass-Scallop (S. greenlandicus),Pétoncle (S. greenlandicus),Similipecten greenlandicus,181299,54
4218,Scallop (Anomiidae),Pétoncle (Anomiidae),Anomiidae,214,6
4219,Jingle shells (Anomia sp.),Anomies (Anomia sp.),Anomia sp.,137650,20
4227,Astartes (Astarte sp.),Astartes (Astarte sp.),Astarte sp.,137683,418
4230,Narrow Hinge Astarte (A. montagui),Astarte (A. montagui),Astarte montagui,138823,1
4231,Boreal Astarte (A. borealis),Astarte (A. borealis),Astarte borealis,138818,10
4268,Northern Cyclocardia,Vénéricarde boréale,Cyclocardia borealis,156832,18
4280,Bivalves (Lyonsiella sp.),Bivalves (Lyonsiella sp.),Lyonsiella sp.,138654,1
4301,cleftclam (Thyasira sp.),bivalve (Thyasira sp.),Thyasira,138552,9
4338,Northern Dwarf-Cockle,Coque naine du nord,Parvicardium pinnulatum,156765,1
4351,Iceland Cockle,Coque d'Islande,Ciliatocardium ciliatum,139000,110
4352,Greenland Smoothcockle (S. groenlandicus),Coque du Groenland,Serripes groenlandicus,582749,25
4384,Arctic wedgeclam (M. arctatum),Clovisse arctique,Mesodesma arctatum,156805,2
4395,Chalky Macoma (M. calcarea),Bivalve (M. calcarea),Macoma calcarea,141580,73
4428,Truncate Softshell Clam,Mye tronquée,Mya truncata,140431,2
4437,Arctic Saxicave,Saxicave arctique,Hiatella arctica,140103,48
4438,Arctic Roughmya (P. norvegica),Saxicave (P. norvegica),Panomya norvegica,140105,16
4441,Northern Propellerclam (C. siliqua),Couteau de Banks (C. siliqua),Cyrtodaria siliqua,140102,1
4451,Atlantic Woodeater,Bivalve (X. atlantica),Xylophaga atlantica,156497,23
4498,Naval shipworm (T. navalis),Taret commun (T. navalis),Teredo navalis,141607,3
4526,Gacial Dipperclam (C. glacialis),bivalve (C. glacialis),Cuspidaria glacialis,139445,430
4545,Cephalopods,Céphalopodes,Cephalopoda,11707,60
4557,Bobtails (Rossia sp.),Sépioles (Rossia sp.),Rossia sp.,138481,632
4562,Big-Fin Bobtail Squid (R. megaptera),Sépiole (R. megaptera),Rossia megaptera,157032,3
4569,Lesser Shining Bobtail,Sépiole calamarette,Semirossia tenera,157036,2
4587,Butterfly Squid (S. leucoptera),Sépiole (S. leucoptera),Stoloteuthis leucoptera,157037,48
4753,Northern Shortfin Squid (I. illecebrosus),Encornet rouge nordique (I. illecebrosus),Illex illecebrosus,153087,1192
4770,Boreoatlantic Armhook Squid (G. fabricii),Encornet atlantoboréal (G. fabricii),Gonatus fabricii,153097,3
4853,Octopus (S. syrtensis),Pieuvre (S. syrtensis),Stauroteuthis syrtensis,153122,5
4878,Octopus (Bathypolypus sp.),Poulpes (Bathypolypus sp.),Bathypolypus sp.,138265,2
4894,Octopus (Octopus sp.),Pieuvre (Octopus sp.),Octopus sp.,138268,1
4904,North Atlantic Octopus (B. bairdii),Poulpe (B. bairdii),Bathypolypus bairdii,157011,835
4950,Polychaetes (Polychaeta),Polychètes (Polychaeta),Polychaeta,883,890
4955,Paddle Worm (P. groenlandica),Polychète (P. groenlandica),Phyllodoce groenlandica,334506,5
5002,Sea Mouse (A. hastata),Souris de mer (A. hastata),Aphrodita hastata,157181,197
5003,Seaworm (L. filicornis),Polychète (L. filicornis),Laetmonice filicornis,129844,330
5007,Fifteen-Scaled Worm (Polynoidae),Polychète errante (Polynoidae),Polynoidae,939,393
5009,Fifteen scales worm (A. mollis),Polychètes (A. mollis),Austrolaenilla mollis,130725,1
5045,Seaworm (E. nodosa),Polychète (E. nodosa),Eunoe nodosa,130745,14
5046,Fifteen-Scaled Worms (Harmothoe sp.),Polychètes errantes (Harmothoe sp.),Harmothoe sp.,129491,3
5053,Scaled worm (N. tetragona),Polychète (N. tetragona),Neoleanira tetragona,131069,51
5080,Blood Worm (G. capitata),Polychète errante (G. capitata),Glycera capitata,130118,1
5089,Seaworm (G. norvegica),Polychète (G. norvegica),Goniada norvegica,130141,5
5113,Red-Lined Worm (Nephtys sp.),Polychète errante (Nephtys sp.),Nephtys sp.,129370,37
5225,Clam Worm (Nereididae),Polychète errante (Nereididae),Nereididae,22496,1
5232,clam worm (Nereis sp.,polychète (Nereis sp.,Nereis,129379,2
5236,Clam worm (N. pelagica),Polychète (N. pelagica),Nereis pelagica,130404,5
5264,Sea worm (P. crassa),Polychète (P. crassa),Polyphysia crassa,130977,52
5267,Seaworm (S. inflatum),Polychète (S. inflatum),Scalibregma inflatum,130980,3
5277,Bamboo Worm (Maldanidae),Polychète sédentaire (Maldanidae),Maldanidae,923,19
