STRAP-IML,nom_en,nom_fr,verbatimIdentification,aphiaID,scientificName,aphiaID_corr,lifeStage,Occurrences_2004-2022,taxonRank,occurenceRemarks,identificationRemarks,taxonomicRemarks,note_CN,name_sugg,STRAP-IML_sugg
8080,Circumpolar Eualid (E. gaimardii gaimardii),Bouc (E. gaimardii gaimardii),Eualus gaimardii gaimardii,515737,Eualus gaimardii gaimardii,515737,,138,subspecies,placeholder name,distinct from belcheri,subspecies was updated to species,pour continuer à utiliser cette code et nom,Eualus gaimardii gaimardii,8080
8081,Circumpolar Eualid (E. belcheri),Bouc (E. belcheri),Eualus belcheri,107502,Eualus belcheri,107502,,27,Species,,,,était affiché Eualus gaimardii belcheri avant,Eualus belcheri,8081
8084,Blade Shrimp (Spirontocaris sp.),Bouc (Spirontocaris sp.),Spirontocaris sp.,106994,Spirontocaris,106994,,77,Species,,,,,Spirontocaris,8084
8085,Parrot Shrimp (S. spinus),Bouc perroquet (S. spinus),Spirontocaris spinus,107533,Spirontocaris spinus,107533,,437,Species,,,,,Spirontocaris spinus,8085
8086,Punctate Blade Shrimp (S. phippsii),Bouc (S. phippsii),Spirontocaris phippsii,107532,Spirontocaris phippsii,107532,,38,Species,,,,,Spirontocaris phippsii,8086
8087,Friendly Blade Shrimp (S. lilljeborgii),Bouc épineux (S. lilljeborgii),Spirontocaris liljeborgii,107531,Spirontocaris liljeborgii,107531,,489,Species,,,,,Spirontocaris liljeborgii,8087
8091,Lebbeids (Lebbeus sp.),Boucs (Lebbeus sp.),Lebbeus sp.,106989,Lebbeus,106989,,12,Genus,,,,,Lebbeus,8091
8092,Spiny Lebbeid (L. groenlandicus),Bouc (L. groenlandicus),Lebbeus groenlandicus,107520,Lebbeus groenlandicus,107520,,193,Species,,,,,Lebbeus groenlandicus,8092
8093,Polar Lebbeid (L. polaris),Bouc (L. polaris),Lebbeus polaris,107521,Lebbeus polaris,107521,,848,Species,,,,,Lebbeus polaris,8093
8095,Shrimp (L. microceros),Bouc (L. microceros),Lebbeus microceros,158362,Lebbeus microceros,158362,,38,Species,,,,,Lebbeus microceros,8095
8108,Bristled Longbeak Shrimp (D. leptocerus),Crevette (D. leptocerus),Dichelopandalus leptocerus,158356,Dichelopandalus leptocerus,158356,,2,Species,expect 1 species,,,photo et conserve,Dichelopandalus leptocerus,8108
8110,Boreal Red Shrimp (Pandalus sp.),Crevette (Pandalus sp.),Pandalus sp.,107044,Pandalus,107044,,9,Genus,,,,,Pandalus,8110
8111,Northern Shrimp,Crevette nordique,Pandalus borealis,107649,Pandalus borealis,107649,,9252,Species,,,,,Pandalus borealis,8111
8112,"Striped Pink Shrimp, Aesop Shrimp",Crevette ésope,Pandalus montagui,107651,Pandalus montagui,107651,,1494,Species,,,,,Pandalus montagui,8112
8113,Shrimp (A. propinqvus),Crevette (A. propinqvus),Atlantopandalus propinqvus,158351,Atlantopandalus propinqvus,158351,,194,Species,,,,,Atlantopandalus propinqvus,8113
8114,Golden shrimp (P. martia),Crevette (P. martia),Plesionika martia,107661,Plesionika martia,107661,,5,Species,,,,photo et conserve,Plesionika martia,8114
8119,Scultured Shrimp (S. boreas),Crevette de roche (ciselée) (S. boreas),Sclerocrangon boreas,107568,Sclerocrangon boreas,107568,,240,Species,,,,,Sclerocrangon boreas,8119
8125,"Sand Shrimp, Sevenspine Bay Shrimp",Crevette sable,Crangon septemspinosa,158355,Crangon septemspinosa,158355,,3,Species,littoral species,,,erreur souvent pour Crangon, , 
8127,Shrimp (Sabinea sp.),Crevette (Sabinea sp.),Sabinea sp.,107012,Sabinea,107012,,6,Genus,,,,,Sabinea,8127
8128,Sevenline Shrimp (S. septemcarinata),Crevette (S. septemcarinata),Sabinea septemcarinata,107567,Sabinea septemcarinata,107567,,502,Species,,,,,Sabinea septemcarinata,8128
8129,Sars Shrimp (S. sarsii),Crevette (S. sarsii),Sabinea sarsii,107566,Sabinea sarsii,107566,,187,Species,,,,,Sabinea sarsii,8129
8135,Norwegian Shrimp (P. norvegicus),Crevette (P. norvegicus),Pontophilus norvegicus,107563,Pontophilus norvegicus,107563,,1163,Species,deepwater species,often confused for Sabinea and Crangon,,,Pontophilus norvegicus,8135
8138,Arctic Argid,Crevette verte,Argis dentata,107550,Argis dentata,107550,,677,Species,,,,,Argis dentata,8138
8154,American Lobster,Homard américain,Homarus americanus,156134,Homarus americanus,156134,,4,Species,,,,,Homarus americanus,8154
8164,Squat Lobster (M. curvirostra),Munidopsis curvirostra (M. curvirostra),Munidopsis curvirostra,107175,Munidopsis curvirostra,107175,,348,Species,deepwater species at limit in St. Lawrence,,,,Munidopsis curvirostra,8164
8173,Lobster Shrimp (C. templemani),Crevette fouisseuse (C. templemani),Calocaris templemani,158383,Calocaris templemani,158383,,45,Species,burrower,,,,Calocaris templemani,8173
8178,Hermit Crab (Pagurus sp.),Bernard hermite droitier (Pagurus sp.),Pagurus sp.,106854,Pagurus,106854,,297,Genus,3 species (2 recorded),,,,Pagurus,8178
8180,Hermit Crab (P. pubescens),Bernard hermite (P. pubescens),Pagurus pubescens,107240,Pagurus pubescens,107240,,4,Species,,,,,Pagurus pubescens,8180
8182,Hairy Hermit Crab,Bernard hermite chevelu,Pagurus arcuatus,158402,Pagurus arcuatus,158402,,14,Species,,,,,Pagurus arcuatus,8182
8196,Norway King Crab (L. maja),Crabe épineux du Nord (L. maja),Lithodes maja,107205,Lithodes maja,107205,,1045,Species,,,,,Lithodes maja,8196
8206,Common Rock Crab,Crabe commun,Cancer irroratus,158057,Cancer irroratus,158057,,7,Species,intertidal species,,,,Cancer irroratus,8206
8213,Snow Crab (C. opilio),Crabe des neiges  (C. opilio),Chionoecetes opilio,107315,Chionoecetes opilio,107315,,1841,Species,,,,,Chionoecetes opilio,8213
